"","#_of_window","RMSE"
"1",30,3545447.04687547
"2",40,4106955.37367746
"3",50,3844076.81132398
"4",60,2682820.85017046
"5",70,3736638.81533766
"6",80,4827709.30364616
"7",90,5416096.82859304
"8",100,6290146.93369358
"9",110,5762918.26688334
"10",120,5972908.23969099
"11",130,6009896.69902395
"12",140,6329352.71827984
"13",150,6607590.94223368
"14",160,7284856.29114087
"15",170,8243589.29604516
"16",180,8107706.89182586
"17",190,8965680.03329716
"18",200,9340704.02653019
"19",210,9445770.04890595
"20",220,8673851.89579107
"21",230,8795537.54146332
"22",240,8274135.2657271
"23",250,8308430.60660418
"24",260,8805213.63416212
"25",270,9243623.29144079
"26",280,6994271.27764825
"27",290,6639339.29349747
"28",300,6624591.85842203
